ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle               1:             648 evals,             202 toggles,            5694 zeroes,             283 ones
Profile Cycle               2:             608 evals,              85 toggles,            5703 zeroes,             309 ones
Profile Cycle               3:             608 evals,              46 toggles,            5685 zeroes,             327 ones
Profile Cycle               4:             608 evals,              75 toggles,            5699 zeroes,             313 ones
Profile Cycle               5:             608 evals,              53 toggles,            5685 zeroes,             327 ones
Profile Cycle               6:             608 evals,              62 toggles,            5684 zeroes,             328 ones
Profile Cycle               7:             602 evals,             101 toggles,            5601 zeroes,             385 ones
Profile Cycle               8:             658 evals,             122 toggles,            5519 zeroes,             444 ones
Profile Cycle               9:             658 evals,              44 toggles,            5582 zeroes,             471 ones
Profile Cycle              10:             644 evals,              52 toggles,            5488 zeroes,             427 ones
Profile Cycle              11:             614 evals,              30 toggles,            5394 zeroes,             405 ones
Profile Cycle              12:             636 evals,              34 toggles,            5419 zeroes,             398 ones
Profile Cycle              13:             637 evals,              12 toggles,            5416 zeroes,             403 ones
Profile Cycle              14:             653 evals,              30 toggles,            5537 zeroes,             420 ones
Profile Cycle              15:             670 evals,             101 toggles,            5567 zeroes,             459 ones
Profile Cycle              16:             621 evals,             134 toggles,            5806 zeroes,             364 ones
Profile Cycle              17:             648 evals,              95 toggles,            5960 zeroes,             295 ones
Profile Cycle              18:             669 evals,              65 toggles,            5684 zeroes,             310 ones
Profile Cycle              19:             608 evals,              94 toggles,            5691 zeroes,             321 ones
Profile Cycle              20:             629 evals,             110 toggles,            5711 zeroes,             351 ones
Profile Cycle              21:             648 evals,             151 toggles,            5633 zeroes,             344 ones
Profile Cycle              22:             666 evals,              86 toggles,            5827 zeroes,             399 ones
Profile Cycle              23:             681 evals,             117 toggles,            5931 zeroes,             404 ones
Profile Cycle              24:             634 evals,             111 toggles,            5860 zeroes,             448 ones
Profile Cycle              25:             647 evals,             149 toggles,            6039 zeroes,             343 ones
[25] 0 0
Profile Cycle              26:             607 evals,              99 toggles,            5829 zeroes,             321 ones
Profile Cycle              27:             621 evals,             119 toggles,            5820 zeroes,             347 ones
Profile Cycle              28:             629 evals,             115 toggles,            5746 zeroes,             316 ones
Profile Cycle              29:             669 evals,             105 toggles,            5688 zeroes,             306 ones
Profile Cycle              30:             602 evals,             115 toggles,            5574 zeroes,             412 ones
Profile Cycle              31:             637 evals,             149 toggles,            5487 zeroes,             459 ones
Profile Cycle              32:             658 evals,              65 toggles,            5552 zeroes,             501 ones
Profile Cycle              33:             644 evals,              69 toggles,            5470 zeroes,             445 ones
Profile Cycle              34:             635 evals,              20 toggles,            5388 zeroes,             428 ones
Profile Cycle              35:             636 evals,              14 toggles,            5398 zeroes,             419 ones
Profile Cycle              36:             637 evals,               8 toggles,            5392 zeroes,             427 ones
Profile Cycle              37:             653 evals,              33 toggles,            5516 zeroes,             441 ones
Profile Cycle              38:             670 evals,             107 toggles,            5558 zeroes,             468 ones
Profile Cycle              39:             621 evals,             143 toggles,            5798 zeroes,             372 ones
Profile Cycle              40:             648 evals,              92 toggles,            5957 zeroes,             298 ones
Profile Cycle              41:             648 evals,              74 toggles,            5666 zeroes,             311 ones
Profile Cycle              42:             608 evals,              95 toggles,            5680 zeroes,             332 ones
Profile Cycle              43:             629 evals,             110 toggles,            5703 zeroes,             359 ones
Profile Cycle              44:             669 evals,             142 toggles,            5640 zeroes,             354 ones
Profile Cycle              45:             666 evals,              72 toggles,            5812 zeroes,             414 ones
Profile Cycle              46:             681 evals,             107 toggles,            5913 zeroes,             422 ones
Profile Cycle              47:             634 evals,             107 toggles,            5845 zeroes,             463 ones
Profile Cycle              48:             647 evals,             135 toggles,            6018 zeroes,             364 ones
[48] 1 0
Profile Cycle              49:             607 evals,             107 toggles,            5815 zeroes,             335 ones
Profile Cycle              50:             621 evals,             118 toggles,            5802 zeroes,             365 ones
Profile Cycle              51:             608 evals,             137 toggles,            5719 zeroes,             326 ones
Profile Cycle              52:             669 evals,             119 toggles,            5682 zeroes,             312 ones
Profile Cycle              53:             602 evals,             118 toggles,            5571 zeroes,             415 ones
Profile Cycle              54:             658 evals,             119 toggles,            5496 zeroes,             467 ones
Profile Cycle              55:             658 evals,              46 toggles,            5550 zeroes,             503 ones
Profile Cycle              56:             644 evals,              67 toggles,            5465 zeroes,             450 ones
Profile Cycle              57:             635 evals,              23 toggles,            5386 zeroes,             430 ones
Profile Cycle              58:             636 evals,               8 toggles,            5390 zeroes,             427 ones
Profile Cycle              59:             637 evals,              17 toggles,            5393 zeroes,             426 ones
Profile Cycle              60:             653 evals,              30 toggles,            5514 zeroes,             443 ones
Profile Cycle              61:             649 evals,             116 toggles,            5538 zeroes,             471 ones
Profile Cycle              62:             621 evals,             155 toggles,            5782 zeroes,             388 ones
Profile Cycle              63:             648 evals,              97 toggles,            5944 zeroes,             311 ones
Profile Cycle              64:             669 evals,              65 toggles,            5668 zeroes,             326 ones
Profile Cycle              65:             608 evals,              88 toggles,            5672 zeroes,             340 ones
Profile Cycle              66:             629 evals,             107 toggles,            5692 zeroes,             370 ones
Profile Cycle              67:             669 evals,             145 toggles,            5632 zeroes,             362 ones
Profile Cycle              68:             666 evals,              66 toggles,            5798 zeroes,             428 ones
Profile Cycle              69:             681 evals,             116 toggles,            5908 zeroes,             427 ones
Profile Cycle              70:             634 evals,             104 toggles,            5837 zeroes,             471 ones
Profile Cycle              71:             626 evals,             153 toggles,            5998 zeroes,             367 ones
[71] 2 0
Profile Cycle              72:             607 evals,             139 toggles,            5835 zeroes,             315 ones
Profile Cycle              73:             621 evals,             130 toggles,            5808 zeroes,             359 ones
Profile Cycle              74:             629 evals,             135 toggles,            5754 zeroes,             308 ones
Profile Cycle              75:             669 evals,             103 toggles,            5693 zeroes,             301 ones
Profile Cycle              76:             602 evals,             138 toggles,            5553 zeroes,             433 ones
Profile Cycle              77:             658 evals,             141 toggles,            5486 zeroes,             477 ones
Profile Cycle              78:             658 evals,              46 toggles,            5528 zeroes,             525 ones
Profile Cycle              79:             644 evals,              88 toggles,            5461 zeroes,             454 ones
Profile Cycle              80:             635 evals,              21 toggles,            5379 zeroes,             437 ones
Profile Cycle              81:             615 evals,              17 toggles,            5368 zeroes,             432 ones
Profile Cycle              82:             637 evals,              21 toggles,            5378 zeroes,             441 ones
Profile Cycle              83:             653 evals,              35 toggles,            5502 zeroes,             455 ones
Profile Cycle              84:             670 evals,             120 toggles,            5562 zeroes,             464 ones
Profile Cycle              85:             621 evals,             144 toggles,            5791 zeroes,             379 ones
Profile Cycle              86:             648 evals,              97 toggles,            5958 zeroes,             297 ones
Profile Cycle              87:             669 evals,              68 toggles,            5685 zeroes,             309 ones
Profile Cycle              88:             608 evals,              82 toggles,            5683 zeroes,             329 ones
Profile Cycle              89:             629 evals,             116 toggles,            5712 zeroes,             350 ones
Profile Cycle              90:             669 evals,             142 toggles,            5649 zeroes,             345 ones
Profile Cycle              91:             645 evals,              79 toggles,            5800 zeroes,             409 ones
Profile Cycle              92:             681 evals,             132 toggles,            5919 zeroes,             416 ones
Profile Cycle              93:             634 evals,             107 toggles,            5851 zeroes,             457 ones
Profile Cycle              94:             647 evals,             136 toggles,            6024 zeroes,             358 ones
[94] 3 0
Profile Cycle              95:             607 evals,             104 toggles,            5816 zeroes,             334 ones
Profile Cycle              96:             621 evals,             130 toggles,            5800 zeroes,             367 ones
Profile Cycle              97:             629 evals,             132 toggles,            5743 zeroes,             319 ones
Profile Cycle              98:             669 evals,              96 toggles,            5676 zeroes,             318 ones
Profile Cycle              99:             602 evals,             124 toggles,            5571 zeroes,             415 ones
Profile Cycle             100:             658 evals,             120 toggles,            5496 zeroes,             467 ones
Profile Cycle             101:             637 evals,              49 toggles,            5526 zeroes,             510 ones
Profile Cycle             102:             644 evals,              93 toggles,            5466 zeroes,             449 ones
Profile Cycle             103:             635 evals,              23 toggles,            5387 zeroes,             429 ones
Profile Cycle             104:             636 evals,               8 toggles,            5391 zeroes,             426 ones
Profile Cycle             105:             637 evals,              14 toggles,            5391 zeroes,             428 ones
Profile Cycle             106:             653 evals,              30 toggles,            5512 zeroes,             445 ones
Profile Cycle             107:             670 evals,             110 toggles,            5557 zeroes,             469 ones
Profile Cycle             108:             621 evals,             142 toggles,            5788 zeroes,             382 ones
Profile Cycle             109:             648 evals,             102 toggles,            5956 zeroes,             299 ones
Profile Cycle             110:             669 evals,              65 toggles,            5680 zeroes,             314 ones
Profile Cycle             111:             587 evals,              97 toggles,            5663 zeroes,             332 ones
Profile Cycle             112:             629 evals,             136 toggles,            5721 zeroes,             341 ones
Profile Cycle             113:             669 evals,             145 toggles,            5661 zeroes,             333 ones
Profile Cycle             114:             666 evals,              66 toggles,            5827 zeroes,             399 ones
Profile Cycle             115:             681 evals,             113 toggles,            5934 zeroes,             401 ones
Profile Cycle             116:             634 evals,             104 toggles,            5863 zeroes,             445 ones
Profile Cycle             117:             647 evals,             138 toggles,            6039 zeroes,             343 ones
[117] 4 0
Profile Cycle             118:             607 evals,             102 toggles,            5827 zeroes,             323 ones
Profile Cycle             119:             621 evals,             136 toggles,            5806 zeroes,             361 ones
Profile Cycle             120:             629 evals,             135 toggles,            5752 zeroes,             310 ones
Profile Cycle             121:             648 evals,             106 toggles,            5667 zeroes,             310 ones
Profile Cycle             122:             602 evals,             155 toggles,            5540 zeroes,             446 ones
Profile Cycle             123:             658 evals,             141 toggles,            5473 zeroes,             490 ones
Profile Cycle             124:             658 evals,              46 toggles,            5515 zeroes,             538 ones
Profile Cycle             125:             644 evals,              85 toggles,            5445 zeroes,             470 ones
Profile Cycle             126:             635 evals,              23 toggles,            5359 zeroes,             457 ones
Profile Cycle             127:             636 evals,              11 toggles,            5366 zeroes,             451 ones
Profile Cycle             128:             637 evals,               8 toggles,            5360 zeroes,             459 ones
Profile Cycle             129:             653 evals,              47 toggles,            5483 zeroes,             474 ones
