ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle               1:             766 evals,             199 toggles,            6975 zeroes,             282 ones
Profile Cycle               2:             783 evals,             126 toggles,            7113 zeroes,             373 ones
Profile Cycle               3:             776 evals,             146 toggles,            6801 zeroes,             441 ones
Profile Cycle               4:             776 evals,              49 toggles,            6840 zeroes,             492 ones
Profile Cycle               5:             759 evals,             128 toggles,            6728 zeroes,             370 ones
Profile Cycle               6:             750 evals,              21 toggles,            6648 zeroes,             351 ones
Profile Cycle               7:             751 evals,              10 toggles,            6655 zeroes,             345 ones
Profile Cycle               8:             752 evals,               9 toggles,            6649 zeroes,             353 ones
Profile Cycle               9:             773 evals,              42 toggles,            6940 zeroes,             360 ones
Profile Cycle              10:             781 evals,             122 toggles,            6952 zeroes,             345 ones
Profile Cycle              11:             685 evals,             120 toggles,            6859 zeroes,             337 ones
Profile Cycle              12:             713 evals,             147 toggles,            7055 zeroes,             394 ones
Profile Cycle              13:             776 evals,             147 toggles,            6786 zeroes,             456 ones
Profile Cycle              14:             776 evals,              37 toggles,            6838 zeroes,             494 ones
Profile Cycle              15:             762 evals,              72 toggles,            6761 zeroes,             433 ones
Profile Cycle              16:             753 evals,              20 toggles,            6681 zeroes,             414 ones
Profile Cycle              17:             754 evals,              10 toggles,            6688 zeroes,             408 ones
Profile Cycle              18:             755 evals,               9 toggles,            6682 zeroes,             416 ones
Profile Cycle              19:             770 evals,              40 toggles,            6779 zeroes,             425 ones
Profile Cycle              20:             787 evals,             124 toggles,            6829 zeroes,             445 ones
Profile Cycle              21:             705 evals,             114 toggles,            7028 zeroes,             392 ones
Profile Cycle              22:             755 evals,             112 toggles,            7250 zeroes,             305 ones
Profile Cycle              23:             787 evals,              80 toggles,            6967 zeroes,             307 ones
Profile Cycle              24:             713 evals,              63 toggles,            6948 zeroes,             332 ones
Profile Cycle              25:             736 evals,             126 toggles,            7042 zeroes,             319 ones
Profile Cycle              26:             787 evals,              73 toggles,            6991 zeroes,             283 ones
Profile Cycle              27:             787 evals,              80 toggles,            6937 zeroes,             337 ones
Profile Cycle              28:             798 evals,             135 toggles,            7246 zeroes,             412 ones
Profile Cycle              29:             776 evals,             163 toggles,            6785 zeroes,             457 ones
Profile Cycle              30:             784 evals,              49 toggles,            7106 zeroes,             510 ones
Profile Cycle              31:             738 evals,             140 toggles,            6694 zeroes,             387 ones
Profile Cycle              32:             750 evals,              47 toggles,            6631 zeroes,             368 ones
Profile Cycle              33:             751 evals,              11 toggles,            6638 zeroes,             362 ones
Profile Cycle              34:             752 evals,               8 toggles,            6632 zeroes,             370 ones
Profile Cycle              35:             773 evals,              37 toggles,            6920 zeroes,             380 ones
Profile Cycle              36:             790 evals,             119 toggles,            6974 zeroes,             396 ones
[36] Sample(0) output: 0
Profile Cycle              37:             705 evals,             146 toggles,            7010 zeroes,             340 ones
Profile Cycle              38:             724 evals,             118 toggles,            7059 zeroes,             373 ones
Profile Cycle              39:             736 evals,             136 toggles,            7049 zeroes,             312 ones
Profile Cycle              40:             787 evals,              82 toggles,            6951 zeroes,             323 ones
Profile Cycle              41:             694 evals,             139 toggles,            6998 zeroes,             436 ones
Profile Cycle              42:             776 evals,             174 toggles,            6751 zeroes,             491 ones
Profile Cycle              43:             776 evals,              44 toggles,            6800 zeroes,             532 ones
Profile Cycle              44:             762 evals,              84 toggles,            6729 zeroes,             465 ones
Profile Cycle              45:             753 evals,              29 toggles,            6651 zeroes,             444 ones
Profile Cycle              46:             754 evals,               8 toggles,            6655 zeroes,             441 ones
Profile Cycle              47:             755 evals,              11 toggles,            6652 zeroes,             446 ones
Profile Cycle              48:             770 evals,              37 toggles,            6733 zeroes,             471 ones
Profile Cycle              49:             787 evals,             159 toggles,            6798 zeroes,             476 ones
Profile Cycle              50:             726 evals,             116 toggles,            7024 zeroes,             413 ones
Profile Cycle              51:             734 evals,             111 toggles,            7211 zeroes,             327 ones
Profile Cycle              52:             787 evals,             100 toggles,            6955 zeroes,             319 ones
Profile Cycle              53:             713 evals,              64 toggles,            6939 zeroes,             341 ones
Profile Cycle              54:             736 evals,             117 toggles,            7027 zeroes,             334 ones
Profile Cycle              55:             787 evals,              79 toggles,            6982 zeroes,             292 ones
Profile Cycle              56:             787 evals,              77 toggles,            6925 zeroes,             349 ones
Profile Cycle              57:             798 evals,             161 toggles,            7205 zeroes,             453 ones
Profile Cycle              58:             776 evals,             184 toggles,            6743 zeroes,             499 ones
Profile Cycle              59:             784 evals,              77 toggles,            7049 zeroes,             567 ones
Profile Cycle              60:             759 evals,             143 toggles,            6676 zeroes,             422 ones
Profile Cycle              61:             729 evals,              32 toggles,            6578 zeroes,             404 ones
Profile Cycle              62:             751 evals,              25 toggles,            6595 zeroes,             405 ones
Profile Cycle              63:             752 evals,              11 toggles,            6592 zeroes,             410 ones
Profile Cycle              64:             773 evals,              33 toggles,            6874 zeroes,             426 ones
Profile Cycle              65:             790 evals,             137 toggles,            6949 zeroes,             421 ones
[65] Sample(1) output: 0
Profile Cycle              66:             705 evals,             143 toggles,            6980 zeroes,             370 ones
Profile Cycle              67:             724 evals,             125 toggles,            7031 zeroes,             401 ones
Profile Cycle              68:             736 evals,             135 toggles,            7018 zeroes,             343 ones
Profile Cycle              69:             787 evals,              91 toggles,            6929 zeroes,             345 ones
Profile Cycle              70:             715 evals,             128 toggles,            6994 zeroes,             457 ones
Profile Cycle              71:             755 evals,             166 toggles,            6719 zeroes,             506 ones
Profile Cycle              72:             776 evals,              80 toggles,            6814 zeroes,             518 ones
Profile Cycle              73:             762 evals,              88 toggles,            6746 zeroes,             448 ones
Profile Cycle              74:             753 evals,              21 toggles,            6666 zeroes,             429 ones
Profile Cycle              75:             754 evals,              14 toggles,            6676 zeroes,             420 ones
Profile Cycle              76:             755 evals,               8 toggles,            6670 zeroes,             428 ones
Profile Cycle              77:             770 evals,              35 toggles,            6761 zeroes,             443 ones
Profile Cycle              78:             787 evals,             138 toggles,            6829 zeroes,             445 ones
Profile Cycle              79:             726 evals,             122 toggles,            7044 zeroes,             393 ones
Profile Cycle              80:             755 evals,             101 toggles,            7246 zeroes,             309 ones
Profile Cycle              81:             766 evals,              86 toggles,            6945 zeroes,             312 ones
Profile Cycle              82:             713 evals,              74 toggles,            6942 zeroes,             338 ones
Profile Cycle              83:             736 evals,             120 toggles,            7033 zeroes,             328 ones
Profile Cycle              84:             787 evals,              73 toggles,            6982 zeroes,             292 ones
Profile Cycle              85:             787 evals,              83 toggles,            6931 zeroes,             343 ones
Profile Cycle              86:             798 evals,             130 toggles,            7240 zeroes,             418 ones
Profile Cycle              87:             776 evals,             158 toggles,            6773 zeroes,             469 ones
Profile Cycle              88:             784 evals,              49 toggles,            7084 zeroes,             532 ones
Profile Cycle              89:             759 evals,             135 toggles,            6703 zeroes,             395 ones
Profile Cycle              90:             750 evals,              22 toggles,            6623 zeroes,             376 ones
Profile Cycle              91:             730 evals,              20 toggles,            6612 zeroes,             371 ones
Profile Cycle              92:             752 evals,              31 toggles,            6624 zeroes,             378 ones
Profile Cycle              93:             773 evals,              34 toggles,            6909 zeroes,             391 ones
Profile Cycle              94:             790 evals,             119 toggles,            6963 zeroes,             407 ones
[94] Sample(2) output: 0
Profile Cycle              95:             705 evals,             151 toggles,            7000 zeroes,             350 ones
Profile Cycle              96:             724 evals,             129 toggles,            7031 zeroes,             401 ones
Profile Cycle              97:             736 evals,             144 toggles,            7035 zeroes,             326 ones
Profile Cycle              98:             787 evals,              83 toggles,            6937 zeroes,             337 ones
Profile Cycle              99:             715 evals,             155 toggles,            6978 zeroes,             473 ones
Profile Cycle             100:             776 evals,             170 toggles,            6721 zeroes,             521 ones
Profile Cycle             101:             755 evals,              56 toggles,            6743 zeroes,             572 ones
